Date,Close
11-May-18,131.82
14-May-18,131.21
15-May-18,131.1
16-May-18,130.89
17-May-18,129.93
18-May-18,129.93
21-May-18,130.66
22-May-18,130.71
23-May-18,131.88
24-May-18,131.89
25-May-18,131.28
29-May-18,129.69
30-May-18,130.64
31-May-18,130.72
1-Jun-18,130.85
4-Jun-18,133.07
5-Jun-18,133.56
6-Jun-18,136.28
7-Jun-18,133.84
8-Jun-18,134.74
11-Jun-18,133.91
12-Jun-18,134.86
13-Jun-18,134.4
14-Jun-18,135
15-Jun-18,135.1
18-Jun-18,136.2
19-Jun-18,135.11
20-Jun-18,135.5
21-Jun-18,134.53
22-Jun-18,135.33
25-Jun-18,130.93
26-Jun-18,132.55
27-Jun-18,131.02
28-Jun-18,132.74
29-Jun-18,132.45
2-Jul-18,132.5
3-Jul-18,131.45
5-Jul-18,133.29
6-Jul-18,134.09
9-Jul-18,135.52
10-Jul-18,136.69
11-Jul-18,138.15
12-Jul-18,139.9
13-Jul-18,139.42
16-Jul-18,138.46
17-Jul-18,139.64
18-Jul-18,140.9
19-Jul-18,140.13
20-Jul-18,140.99
23-Jul-18,140.03
24-Jul-18,140.03
25-Jul-18,142.64
26-Jul-18,142.5
27-Jul-18,140.71
30-Jul-18,136.48
31-Jul-18,136.74
1-Aug-18,138.25
2-Aug-18,138.92
3-Aug-18,139.82
6-Aug-18,139.71
7-Aug-18,140.28
8-Aug-18,140.68
9-Aug-18,140.01
10-Aug-18,139.73
13-Aug-18,140.21
14-Aug-18,140.76
15-Aug-18,139.92
16-Aug-18,140.65
17-Aug-18,141.33
20-Aug-18,140.94
21-Aug-18,140.04
22-Aug-18,141.14
23-Aug-18,142.1
24-Aug-18,144.2
27-Aug-18,145.4
28-Aug-18,145.2
29-Aug-18,147.03
30-Aug-18,146.74
31-Aug-18,146.89
4-Sep-18,147.8
5-Sep-18,142.67
6-Sep-18,144.5
7-Sep-18,143.2
10-Sep-18,144.08
11-Sep-18,145.49
12-Sep-18,146.57
13-Sep-18,147.63
14-Sep-18,147.84
17-Sep-18,146.18
18-Sep-18,147.63
19-Sep-18,147.42
20-Sep-18,149.24
21-Sep-18,150.05
24-Sep-18,149.11
25-Sep-18,149.58
26-Sep-18,149.27
27-Sep-18,150.02
28-Sep-18,150.09
1-Oct-18,150.79
2-Oct-18,149.67
3-Oct-18,149.37
4-Oct-18,146.76
5-Oct-18,145.36
8-Oct-18,141.89
9-Oct-18,142.31
10-Oct-18,135.52
11-Oct-18,133.73
12-Oct-18,140.06
15-Oct-18,137.23
16-Oct-18,141.74
17-Oct-18,142.45
18-Oct-18,139.29
19-Oct-18,140.08
22-Oct-18,140.64
23-Oct-18,139.12
24-Oct-18,134.26
25-Oct-18,140.52
26-Oct-18,137.74
29-Oct-18,134.33
30-Oct-18,132.76
31-Oct-18,137.85
1-Nov-18,140.83
2-Nov-18,139.78
5-Nov-18,139.8
6-Nov-18,140.79
7-Nov-18,144.78
8-Nov-18,145.23
9-Nov-18,143.93
12-Nov-18,139.72
13-Nov-18,139.72
14-Nov-18,139.49
15-Nov-18,141.84
16-Nov-18,140.18
19-Nov-18,134.76
20-Nov-18,133.37
21-Nov-18,134.42
23-Nov-18,132.87
26-Nov-18,135.94
27-Nov-18,135.91
28-Nov-18,141.38
29-Nov-18,139.1
30-Nov-18,141.71
3-Dec-18,145
4-Dec-18,138.64
6-Dec-18,141.05
7-Dec-18,137.11
10-Dec-18,137.88
11-Dec-18,136.81
12-Dec-18,137.8
13-Dec-18,137.54
14-Dec-18,135.09
17-Dec-18,131.4
18-Dec-18,132.66
19-Dec-18,131.26
20-Dec-18,128.76
21-Dec-18,124.26
24-Dec-18,121.73
26-Dec-18,130.23
27-Dec-18,132.01
28-Dec-18,130.94
31-Dec-18,131.94
2-Jan-19,132.92
3-Jan-19,128.13
4-Jan-19,133.65
7-Jan-19,136.06
8-Jan-19,136.8
9-Jan-19,138.41
10-Jan-19,138.67
11-Jan-19,138.06
14-Jan-19,137.1
15-Jan-19,137.34
16-Jan-19,137.34
17-Jan-19,137.28
18-Jan-19,138.5
22-Jan-19,138.05
23-Jan-19,137.01
24-Jan-19,137.7
25-Jan-19,138.67
28-Jan-19,135.99
29-Jan-19,135
30-Jan-19,137.6
31-Jan-19,135.01
1-Feb-19,140.15
4-Feb-19,141.5
5-Feb-19,142.53
6-Feb-19,141.49
7-Feb-19,140.17
8-Feb-19,140.38
11-Feb-19,140.8
12-Feb-19,141.99
13-Feb-19,143.49
14-Feb-19,143.16
15-Feb-19,144.91
19-Feb-19,144.44
20-Feb-19,144.73
21-Feb-19,144
22-Feb-19,145.87
25-Feb-19,146.06
26-Feb-19,147.04
27-Feb-19,147.22
28-Feb-19,148.12
1-Mar-19,149.47
4-Mar-19,147.96
5-Mar-19,147.95
6-Mar-19,147.81
7-Mar-19,146.83
8-Mar-19,147.35
11-Mar-19,150.67
12-Mar-19,151.73
13-Mar-19,152.47
14-Mar-19,154.2
15-Mar-19,155.46
18-Mar-19,154.96
19-Mar-19,154.59
20-Mar-19,153.75
21-Mar-19,155.8
22-Mar-19,153.07
25-Mar-19,153.03
26-Mar-19,155.3
27-Mar-19,154.22
28-Mar-19,154.67
29-Mar-19,156.19
1-Apr-19,157.26
2-Apr-19,157.78
3-Apr-19,158.46
4-Apr-19,157.64
5-Apr-19,157.65
8-Apr-19,157.75
9-Apr-19,157.49
10-Apr-19,158.56
11-Apr-19,157.86
12-Apr-19,159.64
15-Apr-19,160.44
16-Apr-19,160.23
17-Apr-19,160.44
18-Apr-19,160.16
22-Apr-19,160.4
23-Apr-19,161.66
24-Apr-19,161.49
25-Apr-19,161.02
26-Apr-19,162.93
29-Apr-19,164.15
30-Apr-19,164.43
1-May-19,162.79
2-May-19,161.12
3-May-19,162.04
6-May-19,162.28
7-May-19,160.21
8-May-19,160.76
9-May-19,159.81
10-May-19,160.71
