Date,Close
11-May-18,1602.91
14-May-18,1601.54
15-May-18,1576.12
16-May-18,1587.28
17-May-18,1581.76
18-May-18,1574.37
21-May-18,1585.46
22-May-18,1581.4
23-May-18,1601.86
24-May-18,1603.07
25-May-18,1610.15
29-May-18,1612.87
30-May-18,1624.89
31-May-18,1629.62
1-Jun-18,1641.54
4-Jun-18,1665.27
5-Jun-18,1696.35
6-Jun-18,1695.75
7-Jun-18,1689.3
8-Jun-18,1683.99
11-Jun-18,1689.12
12-Jun-18,1698.75
13-Jun-18,1704.86
14-Jun-18,1723.86
15-Jun-18,1715.97
18-Jun-18,1723.79
19-Jun-18,1734.78
20-Jun-18,1750.08
21-Jun-18,1730.22
22-Jun-18,1715.67
25-Jun-18,1663.15
26-Jun-18,1691.09
27-Jun-18,1660.51
28-Jun-18,1701.45
29-Jun-18,1699.8
2-Jul-18,1713.78
3-Jul-18,1693.96
5-Jul-18,1699.73
6-Jul-18,1710.63
9-Jul-18,1739.02
10-Jul-18,1743.07
11-Jul-18,1755
12-Jul-18,1796.62
13-Jul-18,1813.03
16-Jul-18,1822.49
17-Jul-18,1843.93
18-Jul-18,1842.92
19-Jul-18,1812.97
20-Jul-18,1813.7
23-Jul-18,1802
24-Jul-18,1829.24
25-Jul-18,1863.61
26-Jul-18,1808
27-Jul-18,1817.27
30-Jul-18,1779.22
31-Jul-18,1777.44
1-Aug-18,1797.17
2-Aug-18,1834.33
3-Aug-18,1823.29
6-Aug-18,1847.75
7-Aug-18,1862.48
8-Aug-18,1886.52
9-Aug-18,1898.52
10-Aug-18,1886.3
13-Aug-18,1896.2
14-Aug-18,1919.65
15-Aug-18,1882.62
16-Aug-18,1886.52
17-Aug-18,1882.22
20-Aug-18,1876.71
21-Aug-18,1883.42
22-Aug-18,1904.9
23-Aug-18,1902.9
24-Aug-18,1905.39
27-Aug-18,1927.68
28-Aug-18,1932.82
29-Aug-18,1998.1
30-Aug-18,2002.38
31-Aug-18,2012.71
4-Sep-18,2039.51
5-Sep-18,1994.82
6-Sep-18,1958.31
7-Sep-18,1952.07
10-Sep-18,1939.01
11-Sep-18,1987.15
12-Sep-18,1990
13-Sep-18,1989.87
14-Sep-18,1970.19
17-Sep-18,1908.03
18-Sep-18,1941.05
19-Sep-18,1926.42
20-Sep-18,1944.3
21-Sep-18,1915.01
24-Sep-18,1934.36
25-Sep-18,1974.55
26-Sep-18,1974.85
27-Sep-18,2012.98
28-Sep-18,2003
1-Oct-18,2004.36
2-Oct-18,1971.31
3-Oct-18,1952.76
4-Oct-18,1909.42
5-Oct-18,1889.65
8-Oct-18,1864.42
9-Oct-18,1870.32
10-Oct-18,1755.25
11-Oct-18,1719.36
12-Oct-18,1788.61
15-Oct-18,1760.95
16-Oct-18,1819.96
17-Oct-18,1831.73
18-Oct-18,1770.72
19-Oct-18,1764.03
22-Oct-18,1789.3
23-Oct-18,1768.7
24-Oct-18,1664.2
25-Oct-18,1782.17
26-Oct-18,1642.81
29-Oct-18,1538.88
30-Oct-18,1530.42
31-Oct-18,1598.01
1-Nov-18,1665.53
2-Nov-18,1665.53
5-Nov-18,1627.8
6-Nov-18,1642.81
7-Nov-18,1755.49
8-Nov-18,1754.91
9-Nov-18,1712.43
12-Nov-18,1636.85
13-Nov-18,1631.17
14-Nov-18,1599.01
15-Nov-18,1619.44
16-Nov-18,1593.41
19-Nov-18,1512.29
20-Nov-18,1495.46
21-Nov-18,1516.73
23-Nov-18,1502.06
26-Nov-18,1581.33
27-Nov-18,1581.42
28-Nov-18,1677.75
29-Nov-18,1673.57
30-Nov-18,1690.17
3-Dec-18,1772.36
4-Dec-18,1668.4
6-Dec-18,1699.19
7-Dec-18,1629.13
10-Dec-18,1641.03
11-Dec-18,1643.24
12-Dec-18,1663.54
13-Dec-18,1658.38
14-Dec-18,1591.91
17-Dec-18,1520.91
18-Dec-18,1551.48
19-Dec-18,1495.08
20-Dec-18,1460.83
21-Dec-18,1377.45
24-Dec-18,1343.96
26-Dec-18,1470.9
27-Dec-18,1461.64
28-Dec-18,1478.02
31-Dec-18,1501.97
2-Jan-19,1539.13
3-Jan-19,1500.28
4-Jan-19,1575.39
7-Jan-19,1629.51
8-Jan-19,1656.58
9-Jan-19,1659.42
10-Jan-19,1656.22
11-Jan-19,1640.56
14-Jan-19,1617.21
15-Jan-19,1674.56
16-Jan-19,1683.78
17-Jan-19,1693.22
18-Jan-19,1696.2
22-Jan-19,1632.17
23-Jan-19,1640.02
24-Jan-19,1654.93
25-Jan-19,1670.57
28-Jan-19,1637.89
29-Jan-19,1593.88
30-Jan-19,1670.43
31-Jan-19,1718.73
1-Feb-19,1626.23
4-Feb-19,1633.31
5-Feb-19,1658.81
6-Feb-19,1640.26
7-Feb-19,1614.37
8-Feb-19,1588.22
11-Feb-19,1591
12-Feb-19,1638.01
13-Feb-19,1640
14-Feb-19,1622.65
15-Feb-19,1607.95
19-Feb-19,1627.58
20-Feb-19,1622.1
21-Feb-19,1619.44
22-Feb-19,1631.56
25-Feb-19,1633
26-Feb-19,1636.4
27-Feb-19,1641.09
28-Feb-19,1639.83
1-Mar-19,1671.73
4-Mar-19,1696.17
5-Mar-19,1692.43
6-Mar-19,1668.95
7-Mar-19,1625.95
8-Mar-19,1620.8
11-Mar-19,1670.62
12-Mar-19,1673.1
13-Mar-19,1690.81
14-Mar-19,1686.22
15-Mar-19,1712.36
18-Mar-19,1742.15
19-Mar-19,1761.85
20-Mar-19,1797.27
21-Mar-19,1819.26
22-Mar-19,1764.77
25-Mar-19,1774.26
26-Mar-19,1783.76
27-Mar-19,1765.7
28-Mar-19,1773.42
29-Mar-19,1780.75
1-Apr-19,1814.19
2-Apr-19,1813.98
3-Apr-19,1820.7
4-Apr-19,1818.86
5-Apr-19,1837.28
8-Apr-19,1849.86
9-Apr-19,1835.84
10-Apr-19,1847.33
11-Apr-19,1844.07
12-Apr-19,1843.06
15-Apr-19,1844.87
16-Apr-19,1863.04
17-Apr-19,1864.82
18-Apr-19,1861.69
22-Apr-19,1887.31
23-Apr-19,1923.77
24-Apr-19,1901.75
25-Apr-19,1902.25
26-Apr-19,1950.63
29-Apr-19,1938.43
30-Apr-19,1926.52
1-May-19,1911.52
2-May-19,1900.82
3-May-19,1962.46
6-May-19,1950.55
7-May-19,1921
8-May-19,1917.77
9-May-19,1899.87
10-May-19,1889.98
